,regYear,regMonth,salesVolume,province,model
27,2018,4,640,上海,6858d6dfe680bdf7
24,2018,1,286,上海,7023efdab9cedc03
25,2018,2,133,上海,7023efdab9cedc03
26,2018,3,461,上海,7023efdab9cedc03
27,2018,4,450,上海,7023efdab9cedc03
24,2018,1,74,上海,7245e0ee27b195cd
25,2018,2,48,上海,7245e0ee27b195cd
26,2018,3,81,上海,7245e0ee27b195cd
27,2018,4,83,上海,7245e0ee27b195cd
24,2018,1,332,上海,79de4e4b24c35b04
25,2018,2,129,上海,79de4e4b24c35b04
26,2018,3,313,上海,79de4e4b24c35b04
27,2018,4,305,上海,79de4e4b24c35b04
24,2018,1,621,上海,7a7885e2d7c00bcf
25,2018,2,747,上海,7a7885e2d7c00bcf
26,2018,3,1070,上海,7a7885e2d7c00bcf
27,2018,4,1100,上海,7a7885e2d7c00bcf
24,2018,1,206,上海,7aab7fca2470987e
25,2018,2,120,上海,7aab7fca2470987e
26,2018,3,198,上海,7aab7fca2470987e
27,2018,4,196,上海,7aab7fca2470987e
24,2018,1,724,上海,7cf283430b3b5e38
25,2018,2,620,上海,7cf283430b3b5e38
26,2018,3,1445,上海,7cf283430b3b5e38
27,2018,4,1465,上海,7cf283430b3b5e38
24,2018,1,160,上海,8c915fe4632fb9fa
25,2018,2,77,上海,8c915fe4632fb9fa
26,2018,3,127,上海,8c915fe4632fb9fa
27,2018,4,124,上海,8c915fe4632fb9fa
24,2018,1,281,上海,936168bd4850913d
25,2018,2,195,上海,936168bd4850913d
26,2018,3,280,上海,936168bd4850913d
27,2018,4,279,上海,936168bd4850913d
24,2018,1,389,上海,97f15de12cfabbd5
25,2018,2,313,上海,97f15de12cfabbd5
26,2018,3,470,上海,97f15de12cfabbd5
27,2018,4,475,上海,97f15de12cfabbd5
24,2018,1,44,上海,9c1c7ee8ebdda299
25,2018,2,30,上海,9c1c7ee8ebdda299
26,2018,3,42,上海,9c1c7ee8ebdda299
27,2018,4,42,上海,9c1c7ee8ebdda299
24,2018,1,978,上海,a207df29ec9583f0
25,2018,2,565,上海,a207df29ec9583f0
26,2018,3,691,上海,a207df29ec9583f0
27,2018,4,701,上海,a207df29ec9583f0
24,2018,1,113,上海,a28bb927b6fcb33c
25,2018,2,91,上海,a28bb927b6fcb33c
26,2018,3,194,上海,a28bb927b6fcb33c
27,2018,4,197,上海,a28bb927b6fcb33c
24,2018,1,50,上海,a432c483b5beb856
25,2018,2,18,上海,a432c483b5beb856
26,2018,3,96,上海,a432c483b5beb856
27,2018,4,93,上海,a432c483b5beb856
24,2018,1,141,上海,a9a43d1a7ecbe75d
25,2018,2,83,上海,a9a43d1a7ecbe75d
26,2018,3,135,上海,a9a43d1a7ecbe75d
27,2018,4,133,上海,a9a43d1a7ecbe75d
24,2018,1,1079,上海,af6f4f548684e14d
25,2018,2,668,上海,af6f4f548684e14d
26,2018,3,1193,上海,af6f4f548684e14d
27,2018,4,1178,上海,af6f4f548684e14d
24,2018,1,501,上海,b25c4e2e3856af22
25,2018,2,119,上海,b25c4e2e3856af22
26,2018,3,485,上海,b25c4e2e3856af22
27,2018,4,420,上海,b25c4e2e3856af22
24,2018,1,116,上海,b4be3a4917289c82
25,2018,2,140,上海,b4be3a4917289c82
26,2018,3,226,上海,b4be3a4917289c82
27,2018,4,229,上海,b4be3a4917289c82
24,2018,1,354,上海,bb9fbec9a2833839
25,2018,2,305,上海,bb9fbec9a2833839
26,2018,3,502,上海,bb9fbec9a2833839
27,2018,4,507,上海,bb9fbec9a2833839
24,2018,1,1526,上海,c06a2a387c0ee510
25,2018,2,1158,上海,c06a2a387c0ee510
26,2018,3,1440,上海,c06a2a387c0ee510
27,2018,4,1451,上海,c06a2a387c0ee510
24,2018,1,346,上海,c6833cb891626c17
25,2018,2,249,上海,c6833cb891626c17
26,2018,3,516,上海,c6833cb891626c17
27,2018,4,514,上海,c6833cb891626c17
24,2018,1,633,上海,c6cd4e0e073f5ac2
25,2018,2,463,上海,c6cd4e0e073f5ac2
26,2018,3,1269,上海,c6cd4e0e073f5ac2
27,2018,4,1341,上海,c6cd4e0e073f5ac2
24,2018,1,93,上海,cc21c7e91a3b5a0c
25,2018,2,138,上海,cc21c7e91a3b5a0c
26,2018,3,230,上海,cc21c7e91a3b5a0c
27,2018,4,228,上海,cc21c7e91a3b5a0c
24,2018,1,404,上海,cd5841d44fd7625e
25,2018,2,240,上海,cd5841d44fd7625e
26,2018,3,345,上海,cd5841d44fd7625e
27,2018,4,349,上海,cd5841d44fd7625e
24,2018,1,27,上海,d0f245b8781e3631
25,2018,2,19,上海,d0f245b8781e3631
26,2018,3,85,上海,d0f245b8781e3631
27,2018,4,87,上海,d0f245b8781e3631
24,2018,1,99,上海,d4efbebb087fd03f
25,2018,2,43,上海,d4efbebb087fd03f
26,2018,3,160,上海,d4efbebb087fd03f
27,2018,4,163,上海,d4efbebb087fd03f
24,2018,1,637,上海,da457d15788fe8ee
25,2018,2,348,上海,da457d15788fe8ee
26,2018,3,619,上海,da457d15788fe8ee
27,2018,4,629,上海,da457d15788fe8ee
24,2018,1,277,上海,dff803b4024d261d
25,2018,2,160,上海,dff803b4024d261d
26,2018,3,239,上海,dff803b4024d261d
27,2018,4,243,上海,dff803b4024d261d
24,2018,1,160,上海,ea489c253676aafc
25,2018,2,206,上海,ea489c253676aafc
26,2018,3,331,上海,ea489c253676aafc
27,2018,4,304,上海,ea489c253676aafc
24,2018,1,506,上海,ef76a85c4b39f693
25,2018,2,397,上海,ef76a85c4b39f693
26,2018,3,661,上海,ef76a85c4b39f693
27,2018,4,653,上海,ef76a85c4b39f693
24,2018,1,6,上海,f270f6a489c6a9d7
25,2018,2,16,上海,f270f6a489c6a9d7
26,2018,3,19,上海,f270f6a489c6a9d7
27,2018,4,18,上海,f270f6a489c6a9d7
24,2018,1,309,上海,f5d69960089c3614
25,2018,2,175,上海,f5d69960089c3614
26,2018,3,291,上海,f5d69960089c3614
27,2018,4,293,上海,f5d69960089c3614
24,2018,1,444,上海,f8a6975573af1b33
25,2018,2,197,上海,f8a6975573af1b33
26,2018,3,439,上海,f8a6975573af1b33
27,2018,4,441,上海,f8a6975573af1b33
24,2018,1,104,上海,fc32b1a017b34efe
25,2018,2,32,上海,fc32b1a017b34efe
26,2018,3,107,上海,fc32b1a017b34efe
27,2018,4,100,上海,fc32b1a017b34efe
24,2018,1,171,上海,fde95ea242abd896
25,2018,2,145,上海,fde95ea242abd896
26,2018,3,262,上海,fde95ea242abd896
27,2018,4,263,上海,fde95ea242abd896
24,2018,1,446,上海,feabbf46658382b9
25,2018,2,192,上海,feabbf46658382b9
26,2018,3,483,上海,feabbf46658382b9
27,2018,4,491,上海,feabbf46658382b9
24,2018,1,270,云南,02aab221aabc03b9
25,2018,2,170,云南,02aab221aabc03b9
26,2018,3,247,云南,02aab221aabc03b9
27,2018,4,247,云南,02aab221aabc03b9
24,2018,1,209,云南,04e66e578f653ab9
25,2018,2,192,云南,04e66e578f653ab9
26,2018,3,234,云南,04e66e578f653ab9
27,2018,4,240,云南,04e66e578f653ab9
24,2018,1,137,云南,06880909932890ca
25,2018,2,53,云南,06880909932890ca
26,2018,3,131,云南,06880909932890ca
27,2018,4,130,云南,06880909932890ca
24,2018,1,278,云南,0797526c057dcf5b
25,2018,2,277,云南,0797526c057dcf5b
26,2018,3,396,云南,0797526c057dcf5b
27,2018,4,399,云南,0797526c057dcf5b
24,2018,1,231,云南,12f8b7e14947c34d
25,2018,2,185,云南,12f8b7e14947c34d
26,2018,3,344,云南,12f8b7e14947c34d
27,2018,4,336,云南,12f8b7e14947c34d
24,2018,1,111,云南,17363f08d683d52b
25,2018,2,-30,云南,17363f08d683d52b
26,2018,3,21,云南,17363f08d683d52b
27,2018,4,9,云南,17363f08d683d52b
24,2018,1,4861,云南,17bc272c93f19d56
25,2018,2,3136,云南,17bc272c93f19d56
26,2018,3,2894,云南,17bc272c93f19d56
27,2018,4,2895,云南,17bc272c93f19d56
24,2018,1,365,云南,212083a9246d2fd3
25,2018,2,222,云南,212083a9246d2fd3
26,2018,3,334,云南,212083a9246d2fd3
27,2018,4,335,云南,212083a9246d2fd3
24,2018,1,618,云南,28e29f2c03dcd84c
25,2018,2,395,云南,28e29f2c03dcd84c
26,2018,3,524,云南,28e29f2c03dcd84c
27,2018,4,537,云南,28e29f2c03dcd84c
24,2018,1,704,云南,2a2ab41f8f6ff1cb
25,2018,2,515,云南,2a2ab41f8f6ff1cb
26,2018,3,717,云南,2a2ab41f8f6ff1cb
27,2018,4,730,云南,2a2ab41f8f6ff1cb
24,2018,1,342,云南,2d0d2c3403909fdb
25,2018,2,264,云南,2d0d2c3403909fdb
26,2018,3,355,云南,2d0d2c3403909fdb
27,2018,4,360,云南,2d0d2c3403909fdb
24,2018,1,36,云南,346393c2c6305fb1
25,2018,2,-19,云南,346393c2c6305fb1
26,2018,3,27,云南,346393c2c6305fb1
27,2018,4,22,云南,346393c2c6305fb1
24,2018,1,1150,云南,37aa9169b575ef79
25,2018,2,908,云南,37aa9169b575ef79
26,2018,3,1453,云南,37aa9169b575ef79
27,2018,4,1478,云南,37aa9169b575ef79
24,2018,1,457,云南,3c974920a76ac9c1
25,2018,2,219,云南,3c974920a76ac9c1
26,2018,3,335,云南,3c974920a76ac9c1
27,2018,4,337,云南,3c974920a76ac9c1
24,2018,1,427,云南,3d7554f1f56dd664
25,2018,2,402,云南,3d7554f1f56dd664
26,2018,3,541,云南,3d7554f1f56dd664
27,2018,4,548,云南,3d7554f1f56dd664
24,2018,1,169,云南,3e21824be728cbec
25,2018,2,97,云南,3e21824be728cbec
26,2018,3,222,云南,3e21824be728cbec
27,2018,4,216,云南,3e21824be728cbec
24,2018,1,487,云南,4a103c30d593fbbe
25,2018,2,395,云南,4a103c30d593fbbe
26,2018,3,714,云南,4a103c30d593fbbe
27,2018,4,716,云南,4a103c30d593fbbe
24,2018,1,136,云南,4f79773e600518a6
25,2018,2,44,云南,4f79773e600518a6
26,2018,3,42,云南,4f79773e600518a6
27,2018,4,36,云南,4f79773e600518a6
24,2018,1,530,云南,54fc07138d70374c
25,2018,2,286,云南,54fc07138d70374c
26,2018,3,352,云南,54fc07138d70374c
27,2018,4,360,云南,54fc07138d70374c
24,2018,1,140,云南,5b1c11c3efed5312
25,2018,2,37,云南,5b1c11c3efed5312
26,2018,3,67,云南,5b1c11c3efed5312
27,2018,4,61,云南,5b1c11c3efed5312
24,2018,1,180,云南,5d7fb682edd0f937
25,2018,2,125,云南,5d7fb682edd0f937
26,2018,3,183,云南,5d7fb682edd0f937
27,2018,4,182,云南,5d7fb682edd0f937
24,2018,1,1616,云南,6155b214590c66e6
25,2018,2,929,云南,6155b214590c66e6
26,2018,3,1438,云南,6155b214590c66e6
27,2018,4,1429,云南,6155b214590c66e6
24,2018,1,429,云南,61e73e32ad101892
25,2018,2,270,云南,61e73e32ad101892
26,2018,3,368,云南,61e73e32ad101892
27,2018,4,360,云南,61e73e32ad101892
24,2018,1,1122,云南,63065128401bb3ff
25,2018,2,1011,云南,63065128401bb3ff
26,2018,3,1599,云南,63065128401bb3ff
27,2018,4,1641,云南,63065128401bb3ff
24,2018,1,283,云南,6858d6dfe680bdf7
25,2018,2,241,云南,6858d6dfe680bdf7
26,2018,3,279,云南,6858d6dfe680bdf7
27,2018,4,281,云南,6858d6dfe680bdf7
24,2018,1,54,云南,7023efdab9cedc03
25,2018,2,40,云南,7023efdab9cedc03
26,2018,3,110,云南,7023efdab9cedc03
27,2018,4,108,云南,7023efdab9cedc03
24,2018,1,559,云南,7245e0ee27b195cd
25,2018,2,382,云南,7245e0ee27b195cd
26,2018,3,512,云南,7245e0ee27b195cd
27,2018,4,512,云南,7245e0ee27b195cd
24,2018,1,1038,云南,79de4e4b24c35b04
25,2018,2,602,云南,79de4e4b24c35b04
26,2018,3,685,云南,79de4e4b24c35b04
27,2018,4,695,云南,79de4e4b24c35b04
24,2018,1,175,云南,7a7885e2d7c00bcf
25,2018,2,209,云南,7a7885e2d7c00bcf
26,2018,3,343,云南,7a7885e2d7c00bcf
27,2018,4,340,云南,7a7885e2d7c00bcf
24,2018,1,13,云南,7aab7fca2470987e
25,2018,2,14,云南,7aab7fca2470987e
26,2018,3,12,云南,7aab7fca2470987e
27,2018,4,11,云南,7aab7fca2470987e
24,2018,1,399,云南,7cf283430b3b5e38
25,2018,2,318,云南,7cf283430b3b5e38
26,2018,3,607,云南,7cf283430b3b5e38
27,2018,4,626,云南,7cf283430b3b5e38
24,2018,1,1349,云南,8c915fe4632fb9fa
25,2018,2,852,云南,8c915fe4632fb9fa
26,2018,3,929,云南,8c915fe4632fb9fa
27,2018,4,956,云南,8c915fe4632fb9fa
24,2018,1,617,云南,936168bd4850913d
25,2018,2,284,云南,936168bd4850913d
26,2018,3,451,云南,936168bd4850913d
27,2018,4,463,云南,936168bd4850913d
24,2018,1,227,云南,97f15de12cfabbd5
25,2018,2,131,云南,97f15de12cfabbd5
26,2018,3,156,云南,97f15de12cfabbd5
27,2018,4,158,云南,97f15de12cfabbd5
24,2018,1,113,云南,9c1c7ee8ebdda299
25,2018,2,75,云南,9c1c7ee8ebdda299
26,2018,3,126,云南,9c1c7ee8ebdda299
27,2018,4,117,云南,9c1c7ee8ebdda299
24,2018,1,372,云南,a207df29ec9583f0
25,2018,2,238,云南,a207df29ec9583f0
26,2018,3,291,云南,a207df29ec9583f0
27,2018,4,294,云南,a207df29ec9583f0
24,2018,1,311,云南,a28bb927b6fcb33c
25,2018,2,245,云南,a28bb927b6fcb33c
26,2018,3,408,云南,a28bb927b6fcb33c
27,2018,4,420,云南,a28bb927b6fcb33c
24,2018,1,163,云南,a432c483b5beb856
25,2018,2,124,云南,a432c483b5beb856
26,2018,3,176,云南,a432c483b5beb856
27,2018,4,176,云南,a432c483b5beb856
24,2018,1,157,云南,a9a43d1a7ecbe75d
25,2018,2,93,云南,a9a43d1a7ecbe75d
26,2018,3,117,云南,a9a43d1a7ecbe75d
27,2018,4,117,云南,a9a43d1a7ecbe75d
24,2018,1,397,云南,af6f4f548684e14d
25,2018,2,275,云南,af6f4f548684e14d
26,2018,3,396,云南,af6f4f548684e14d
27,2018,4,388,云南,af6f4f548684e14d
24,2018,1,484,云南,b25c4e2e3856af22
25,2018,2,163,云南,b25c4e2e3856af22
26,2018,3,363,云南,b25c4e2e3856af22
27,2018,4,355,云南,b25c4e2e3856af22
24,2018,1,34,云南,b4be3a4917289c82
25,2018,2,44,云南,b4be3a4917289c82
26,2018,3,70,云南,b4be3a4917289c82
27,2018,4,71,云南,b4be3a4917289c82
24,2018,1,169,云南,bb9fbec9a2833839
25,2018,2,126,云南,bb9fbec9a2833839
26,2018,3,213,云南,bb9fbec9a2833839
27,2018,4,212,云南,bb9fbec9a2833839
24,2018,1,212,云南,c06a2a387c0ee510
25,2018,2,168,云南,c06a2a387c0ee510
26,2018,3,263,云南,c06a2a387c0ee510
27,2018,4,271,云南,c06a2a387c0ee510
24,2018,1,475,云南,c6833cb891626c17
25,2018,2,270,云南,c6833cb891626c17
26,2018,3,365,云南,c6833cb891626c17
27,2018,4,363,云南,c6833cb891626c17
24,2018,1,-51,云南,c6cd4e0e073f5ac2
25,2018,2,-85,云南,c6cd4e0e073f5ac2
26,2018,3,14,云南,c6cd4e0e073f5ac2
27,2018,4,-5,云南,c6cd4e0e073f5ac2
24,2018,1,500,云南,cc21c7e91a3b5a0c
25,2018,2,299,云南,cc21c7e91a3b5a0c
26,2018,3,463,云南,cc21c7e91a3b5a0c
27,2018,4,464,云南,cc21c7e91a3b5a0c
24,2018,1,500,云南,cd5841d44fd7625e
25,2018,2,337,云南,cd5841d44fd7625e
26,2018,3,492,云南,cd5841d44fd7625e
27,2018,4,496,云南,cd5841d44fd7625e
24,2018,1,167,云南,d0f245b8781e3631
25,2018,2,104,云南,d0f245b8781e3631
26,2018,3,155,云南,d0f245b8781e3631
27,2018,4,153,云南,d0f245b8781e3631
24,2018,1,458,云南,d4efbebb087fd03f
25,2018,2,335,云南,d4efbebb087fd03f
26,2018,3,442,云南,d4efbebb087fd03f
27,2018,4,452,云南,d4efbebb087fd03f
24,2018,1,282,云南,da457d15788fe8ee
25,2018,2,181,云南,da457d15788fe8ee
26,2018,3,285,云南,da457d15788fe8ee
27,2018,4,289,云南,da457d15788fe8ee
24,2018,1,66,云南,dff803b4024d261d
25,2018,2,56,云南,dff803b4024d261d
26,2018,3,81,云南,dff803b4024d261d
27,2018,4,80,云南,dff803b4024d261d
24,2018,1,674,云南,ea489c253676aafc
25,2018,2,513,云南,ea489c253676aafc
26,2018,3,840,云南,ea489c253676aafc
27,2018,4,866,云南,ea489c253676aafc
24,2018,1,169,云南,ef76a85c4b39f693
25,2018,2,127,云南,ef76a85c4b39f693
26,2018,3,230,云南,ef76a85c4b39f693
27,2018,4,232,云南,ef76a85c4b39f693
24,2018,1,1131,云南,f270f6a489c6a9d7
25,2018,2,653,云南,f270f6a489c6a9d7
26,2018,3,588,云南,f270f6a489c6a9d7
27,2018,4,551,云南,f270f6a489c6a9d7
24,2018,1,94,云南,f5d69960089c3614
25,2018,2,63,云南,f5d69960089c3614
26,2018,3,78,云南,f5d69960089c3614
27,2018,4,79,云南,f5d69960089c3614
24,2018,1,245,云南,f8a6975573af1b33
25,2018,2,166,云南,f8a6975573af1b33
26,2018,3,252,云南,f8a6975573af1b33
27,2018,4,251,云南,f8a6975573af1b33
24,2018,1,432,云南,fc32b1a017b34efe
25,2018,2,319,云南,fc32b1a017b34efe
26,2018,3,457,云南,fc32b1a017b34efe
27,2018,4,452,云南,fc32b1a017b34efe
24,2018,1,413,云南,fde95ea242abd896
25,2018,2,227,云南,fde95ea242abd896
26,2018,3,386,云南,fde95ea242abd896
27,2018,4,385,云南,fde95ea242abd896
24,2018,1,1070,云南,feabbf46658382b9
25,2018,2,650,云南,feabbf46658382b9
26,2018,3,1007,云南,feabbf46658382b9
27,2018,4,1018,云南,feabbf46658382b9
24,2018,1,114,内蒙古,02aab221aabc03b9
25,2018,2,70,内蒙古,02aab221aabc03b9
26,2018,3,100,内蒙古,02aab221aabc03b9
27,2018,4,102,内蒙古,02aab221aabc03b9
24,2018,1,75,内蒙古,04e66e578f653ab9
25,2018,2,53,内蒙古,04e66e578f653ab9
26,2018,3,87,内蒙古,04e66e578f653ab9
27,2018,4,87,内蒙古,04e66e578f653ab9
24,2018,1,51,内蒙古,06880909932890ca
25,2018,2,22,内蒙古,06880909932890ca
26,2018,3,54,内蒙古,06880909932890ca
27,2018,4,51,内蒙古,06880909932890ca
24,2018,1,437,内蒙古,0797526c057dcf5b
25,2018,2,360,内蒙古,0797526c057dcf5b
26,2018,3,584,内蒙古,0797526c057dcf5b
27,2018,4,590,内蒙古,0797526c057dcf5b
24,2018,1,377,内蒙古,12f8b7e14947c34d
25,2018,2,171,内蒙古,12f8b7e14947c34d
26,2018,3,452,内蒙古,12f8b7e14947c34d
27,2018,4,426,内蒙古,12f8b7e14947c34d
24,2018,1,64,内蒙古,17363f08d683d52b
25,2018,2,-15,内蒙古,17363f08d683d52b
26,2018,3,24,内蒙古,17363f08d683d52b
27,2018,4,19,内蒙古,17363f08d683d52b
24,2018,1,629,内蒙古,17bc272c93f19d56
25,2018,2,581,内蒙古,17bc272c93f19d56
26,2018,3,616,内蒙古,17bc272c93f19d56
27,2018,4,624,内蒙古,17bc272c93f19d56
24,2018,1,290,内蒙古,212083a9246d2fd3
25,2018,2,132,内蒙古,212083a9246d2fd3
26,2018,3,193,内蒙古,212083a9246d2fd3
27,2018,4,186,内蒙古,212083a9246d2fd3
24,2018,1,602,内蒙古,28e29f2c03dcd84c
25,2018,2,383,内蒙古,28e29f2c03dcd84c
26,2018,3,601,内蒙古,28e29f2c03dcd84c
27,2018,4,600,内蒙古,28e29f2c03dcd84c
24,2018,1,616,内蒙古,2a2ab41f8f6ff1cb
25,2018,2,369,内蒙古,2a2ab41f8f6ff1cb
26,2018,3,685,内蒙古,2a2ab41f8f6ff1cb
27,2018,4,697,内蒙古,2a2ab41f8f6ff1cb
24,2018,1,301,内蒙古,2d0d2c3403909fdb
25,2018,2,201,内蒙古,2d0d2c3403909fdb
26,2018,3,254,内蒙古,2d0d2c3403909fdb
27,2018,4,255,内蒙古,2d0d2c3403909fdb
24,2018,1,57,内蒙古,346393c2c6305fb1
25,2018,2,25,内蒙古,346393c2c6305fb1
26,2018,3,63,内蒙古,346393c2c6305fb1
27,2018,4,59,内蒙古,346393c2c6305fb1
24,2018,1,772,内蒙古,37aa9169b575ef79
25,2018,2,584,内蒙古,37aa9169b575ef79
26,2018,3,1071,内蒙古,37aa9169b575ef79
27,2018,4,1099,内蒙古,37aa9169b575ef79
24,2018,1,180,内蒙古,3c974920a76ac9c1
25,2018,2,127,内蒙古,3c974920a76ac9c1
26,2018,3,179,内蒙古,3c974920a76ac9c1
27,2018,4,179,内蒙古,3c974920a76ac9c1
24,2018,1,264,内蒙古,3d7554f1f56dd664
25,2018,2,237,内蒙古,3d7554f1f56dd664
26,2018,3,367,内蒙古,3d7554f1f56dd664
27,2018,4,375,内蒙古,3d7554f1f56dd664
24,2018,1,30,内蒙古,3e21824be728cbec
25,2018,2,6,内蒙古,3e21824be728cbec
26,2018,3,38,内蒙古,3e21824be728cbec
27,2018,4,36,内蒙古,3e21824be728cbec
24,2018,1,498,内蒙古,4a103c30d593fbbe
25,2018,2,368,内蒙古,4a103c30d593fbbe
26,2018,3,743,内蒙古,4a103c30d593fbbe
27,2018,4,742,内蒙古,4a103c30d593fbbe
24,2018,1,279,内蒙古,4f79773e600518a6
25,2018,2,60,内蒙古,4f79773e600518a6
26,2018,3,117,内蒙古,4f79773e600518a6
27,2018,4,107,内蒙古,4f79773e600518a6
24,2018,1,290,内蒙古,54fc07138d70374c
25,2018,2,145,内蒙古,54fc07138d70374c
26,2018,3,209,内蒙古,54fc07138d70374c
27,2018,4,211,内蒙古,54fc07138d70374c
24,2018,1,96,内蒙古,5b1c11c3efed5312
25,2018,2,32,内蒙古,5b1c11c3efed5312
26,2018,3,68,内蒙古,5b1c11c3efed5312
27,2018,4,64,内蒙古,5b1c11c3efed5312
24,2018,1,93,内蒙古,5d7fb682edd0f937
25,2018,2,69,内蒙古,5d7fb682edd0f937
26,2018,3,105,内蒙古,5d7fb682edd0f937
27,2018,4,105,内蒙古,5d7fb682edd0f937
24,2018,1,1228,内蒙古,6155b214590c66e6
25,2018,2,744,内蒙古,6155b214590c66e6
26,2018,3,1262,内蒙古,6155b214590c66e6
27,2018,4,1282,内蒙古,6155b214590c66e6
24,2018,1,623,内蒙古,61e73e32ad101892
25,2018,2,328,内蒙古,61e73e32ad101892
26,2018,3,586,内蒙古,61e73e32ad101892
27,2018,4,594,内蒙古,61e73e32ad101892
24,2018,1,469,内蒙古,63065128401bb3ff
25,2018,2,423,内蒙古,63065128401bb3ff
26,2018,3,822,内蒙古,63065128401bb3ff
27,2018,4,838,内蒙古,63065128401bb3ff
24,2018,1,72,内蒙古,6858d6dfe680bdf7
25,2018,2,61,内蒙古,6858d6dfe680bdf7
26,2018,3,88,内蒙古,6858d6dfe680bdf7
