,regYear,regMonth,popularity,province,model
26,2018,3,829,上海,7a7885e2d7c00bcf
27,2018,4,828,上海,7a7885e2d7c00bcf
24,2018,1,250,上海,7aab7fca2470987e
25,2018,2,297,上海,7aab7fca2470987e
26,2018,3,271,上海,7aab7fca2470987e
27,2018,4,267,上海,7aab7fca2470987e
24,2018,1,1664,上海,7cf283430b3b5e38
25,2018,2,2317,上海,7cf283430b3b5e38
26,2018,3,2172,上海,7cf283430b3b5e38
27,2018,4,2135,上海,7cf283430b3b5e38
24,2018,1,438,上海,8c915fe4632fb9fa
25,2018,2,627,上海,8c915fe4632fb9fa
26,2018,3,453,上海,8c915fe4632fb9fa
27,2018,4,426,上海,8c915fe4632fb9fa
24,2018,1,192,上海,936168bd4850913d
25,2018,2,230,上海,936168bd4850913d
26,2018,3,187,上海,936168bd4850913d
27,2018,4,183,上海,936168bd4850913d
24,2018,1,844,上海,97f15de12cfabbd5
25,2018,2,1136,上海,97f15de12cfabbd5
26,2018,3,934,上海,97f15de12cfabbd5
27,2018,4,906,上海,97f15de12cfabbd5
24,2018,1,157,上海,9c1c7ee8ebdda299
25,2018,2,140,上海,9c1c7ee8ebdda299
26,2018,3,142,上海,9c1c7ee8ebdda299
27,2018,4,130,上海,9c1c7ee8ebdda299
24,2018,1,1981,上海,a207df29ec9583f0
25,2018,2,2422,上海,a207df29ec9583f0
26,2018,3,2397,上海,a207df29ec9583f0
27,2018,4,2423,上海,a207df29ec9583f0
24,2018,1,224,上海,a28bb927b6fcb33c
25,2018,2,297,上海,a28bb927b6fcb33c
26,2018,3,259,上海,a28bb927b6fcb33c
27,2018,4,251,上海,a28bb927b6fcb33c
24,2018,1,87,上海,a432c483b5beb856
25,2018,2,135,上海,a432c483b5beb856
26,2018,3,110,上海,a432c483b5beb856
27,2018,4,99,上海,a432c483b5beb856
24,2018,1,689,上海,a9a43d1a7ecbe75d
25,2018,2,822,上海,a9a43d1a7ecbe75d
26,2018,3,1053,上海,a9a43d1a7ecbe75d
27,2018,4,1079,上海,a9a43d1a7ecbe75d
24,2018,1,2536,上海,af6f4f548684e14d
25,2018,2,3544,上海,af6f4f548684e14d
26,2018,3,2715,上海,af6f4f548684e14d
27,2018,4,2638,上海,af6f4f548684e14d
24,2018,1,2818,上海,b25c4e2e3856af22
25,2018,2,3903,上海,b25c4e2e3856af22
26,2018,3,2718,上海,b25c4e2e3856af22
27,2018,4,2600,上海,b25c4e2e3856af22
24,2018,1,3827,上海,b4be3a4917289c82
25,2018,2,5204,上海,b4be3a4917289c82
26,2018,3,3883,上海,b4be3a4917289c82
27,2018,4,3858,上海,b4be3a4917289c82
24,2018,1,3063,上海,bb9fbec9a2833839
25,2018,2,3930,上海,bb9fbec9a2833839
26,2018,3,2874,上海,bb9fbec9a2833839
27,2018,4,2854,上海,bb9fbec9a2833839
24,2018,1,1478,上海,c06a2a387c0ee510
25,2018,2,1673,上海,c06a2a387c0ee510
26,2018,3,1486,上海,c06a2a387c0ee510
27,2018,4,1487,上海,c06a2a387c0ee510
24,2018,1,245,上海,c6833cb891626c17
25,2018,2,373,上海,c6833cb891626c17
26,2018,3,242,上海,c6833cb891626c17
27,2018,4,210,上海,c6833cb891626c17
24,2018,1,105,上海,c6cd4e0e073f5ac2
25,2018,2,267,上海,c6cd4e0e073f5ac2
26,2018,3,179,上海,c6cd4e0e073f5ac2
27,2018,4,146,上海,c6cd4e0e073f5ac2
24,2018,1,610,上海,cc21c7e91a3b5a0c
25,2018,2,1106,上海,cc21c7e91a3b5a0c
26,2018,3,705,上海,cc21c7e91a3b5a0c
27,2018,4,680,上海,cc21c7e91a3b5a0c
24,2018,1,412,上海,cd5841d44fd7625e
25,2018,2,613,上海,cd5841d44fd7625e
26,2018,3,524,上海,cd5841d44fd7625e
27,2018,4,500,上海,cd5841d44fd7625e
24,2018,1,71,上海,d0f245b8781e3631
25,2018,2,78,上海,d0f245b8781e3631
26,2018,3,170,上海,d0f245b8781e3631
27,2018,4,157,上海,d0f245b8781e3631
24,2018,1,1464,上海,d4efbebb087fd03f
25,2018,2,1433,上海,d4efbebb087fd03f
26,2018,3,2813,上海,d4efbebb087fd03f
27,2018,4,2911,上海,d4efbebb087fd03f
24,2018,1,4329,上海,da457d15788fe8ee
25,2018,2,5300,上海,da457d15788fe8ee
26,2018,3,3960,上海,da457d15788fe8ee
27,2018,4,3954,上海,da457d15788fe8ee
24,2018,1,227,上海,dff803b4024d261d
25,2018,2,277,上海,dff803b4024d261d
26,2018,3,299,上海,dff803b4024d261d
27,2018,4,303,上海,dff803b4024d261d
24,2018,1,942,上海,ea489c253676aafc
25,2018,2,1144,上海,ea489c253676aafc
26,2018,3,891,上海,ea489c253676aafc
27,2018,4,868,上海,ea489c253676aafc
24,2018,1,3970,上海,ef76a85c4b39f693
25,2018,2,5445,上海,ef76a85c4b39f693
26,2018,3,3838,上海,ef76a85c4b39f693
27,2018,4,3680,上海,ef76a85c4b39f693
24,2018,1,241,上海,f270f6a489c6a9d7
25,2018,2,293,上海,f270f6a489c6a9d7
26,2018,3,269,上海,f270f6a489c6a9d7
27,2018,4,264,上海,f270f6a489c6a9d7
24,2018,1,2107,上海,f5d69960089c3614
25,2018,2,2347,上海,f5d69960089c3614
26,2018,3,2172,上海,f5d69960089c3614
27,2018,4,2185,上海,f5d69960089c3614
24,2018,1,1157,上海,f8a6975573af1b33
25,2018,2,1929,上海,f8a6975573af1b33
26,2018,3,941,上海,f8a6975573af1b33
27,2018,4,832,上海,f8a6975573af1b33
24,2018,1,94,上海,fc32b1a017b34efe
25,2018,2,303,上海,fc32b1a017b34efe
26,2018,3,106,上海,fc32b1a017b34efe
27,2018,4,26,上海,fc32b1a017b34efe
24,2018,1,581,上海,fde95ea242abd896
25,2018,2,943,上海,fde95ea242abd896
26,2018,3,423,上海,fde95ea242abd896
27,2018,4,370,上海,fde95ea242abd896
24,2018,1,2033,上海,feabbf46658382b9
25,2018,2,3132,上海,feabbf46658382b9
26,2018,3,1761,上海,feabbf46658382b9
27,2018,4,1674,上海,feabbf46658382b9
24,2018,1,720,云南,02aab221aabc03b9
25,2018,2,798,云南,02aab221aabc03b9
26,2018,3,1028,云南,02aab221aabc03b9
27,2018,4,1032,云南,02aab221aabc03b9
24,2018,1,401,云南,04e66e578f653ab9
25,2018,2,449,云南,04e66e578f653ab9
26,2018,3,499,云南,04e66e578f653ab9
27,2018,4,498,云南,04e66e578f653ab9
24,2018,1,368,云南,06880909932890ca
25,2018,2,472,云南,06880909932890ca
26,2018,3,377,云南,06880909932890ca
27,2018,4,374,云南,06880909932890ca
24,2018,1,471,云南,0797526c057dcf5b
25,2018,2,564,云南,0797526c057dcf5b
26,2018,3,496,云南,0797526c057dcf5b
27,2018,4,504,云南,0797526c057dcf5b
24,2018,1,815,云南,12f8b7e14947c34d
25,2018,2,1361,云南,12f8b7e14947c34d
26,2018,3,1090,云南,12f8b7e14947c34d
27,2018,4,1075,云南,12f8b7e14947c34d
24,2018,1,1274,云南,17363f08d683d52b
25,2018,2,1173,云南,17363f08d683d52b
26,2018,3,780,云南,17363f08d683d52b
27,2018,4,722,云南,17363f08d683d52b
24,2018,1,6282,云南,17bc272c93f19d56
25,2018,2,7780,云南,17bc272c93f19d56
26,2018,3,5121,云南,17bc272c93f19d56
27,2018,4,5071,云南,17bc272c93f19d56
24,2018,1,1391,云南,212083a9246d2fd3
25,2018,2,1628,云南,212083a9246d2fd3
26,2018,3,1383,云南,212083a9246d2fd3
27,2018,4,1375,云南,212083a9246d2fd3
24,2018,1,674,云南,28e29f2c03dcd84c
25,2018,2,795,云南,28e29f2c03dcd84c
26,2018,3,771,云南,28e29f2c03dcd84c
27,2018,4,792,云南,28e29f2c03dcd84c
24,2018,1,4402,云南,2a2ab41f8f6ff1cb
25,2018,2,4501,云南,2a2ab41f8f6ff1cb
26,2018,3,5240,云南,2a2ab41f8f6ff1cb
27,2018,4,5393,云南,2a2ab41f8f6ff1cb
24,2018,1,1094,云南,2d0d2c3403909fdb
25,2018,2,1423,云南,2d0d2c3403909fdb
26,2018,3,964,云南,2d0d2c3403909fdb
27,2018,4,965,云南,2d0d2c3403909fdb
24,2018,1,173,云南,346393c2c6305fb1
25,2018,2,154,云南,346393c2c6305fb1
26,2018,3,209,云南,346393c2c6305fb1
27,2018,4,208,云南,346393c2c6305fb1
24,2018,1,1135,云南,37aa9169b575ef79
25,2018,2,1391,云南,37aa9169b575ef79
26,2018,3,1327,云南,37aa9169b575ef79
27,2018,4,1351,云南,37aa9169b575ef79
24,2018,1,1220,云南,3c974920a76ac9c1
25,2018,2,1324,云南,3c974920a76ac9c1
26,2018,3,727,云南,3c974920a76ac9c1
27,2018,4,694,云南,3c974920a76ac9c1
24,2018,1,1731,云南,3d7554f1f56dd664
25,2018,2,2094,云南,3d7554f1f56dd664
26,2018,3,1786,云南,3d7554f1f56dd664
27,2018,4,1811,云南,3d7554f1f56dd664
24,2018,1,847,云南,3e21824be728cbec
25,2018,2,1021,云南,3e21824be728cbec
26,2018,3,893,云南,3e21824be728cbec
27,2018,4,878,云南,3e21824be728cbec
24,2018,1,1473,云南,4a103c30d593fbbe
25,2018,2,1766,云南,4a103c30d593fbbe
26,2018,3,1630,云南,4a103c30d593fbbe
27,2018,4,1621,云南,4a103c30d593fbbe
24,2018,1,432,云南,4f79773e600518a6
25,2018,2,506,云南,4f79773e600518a6
26,2018,3,278,云南,4f79773e600518a6
27,2018,4,250,云南,4f79773e600518a6
24,2018,1,2132,云南,54fc07138d70374c
25,2018,2,2636,云南,54fc07138d70374c
26,2018,3,1628,云南,54fc07138d70374c
27,2018,4,1626,云南,54fc07138d70374c
24,2018,1,158,云南,5b1c11c3efed5312
25,2018,2,240,云南,5b1c11c3efed5312
26,2018,3,257,云南,5b1c11c3efed5312
27,2018,4,227,云南,5b1c11c3efed5312
24,2018,1,902,云南,5d7fb682edd0f937
25,2018,2,988,云南,5d7fb682edd0f937
26,2018,3,1187,云南,5d7fb682edd0f937
27,2018,4,1207,云南,5d7fb682edd0f937
24,2018,1,3707,云南,6155b214590c66e6
25,2018,2,4276,云南,6155b214590c66e6
26,2018,3,4568,云南,6155b214590c66e6
27,2018,4,4577,云南,6155b214590c66e6
24,2018,1,311,云南,61e73e32ad101892
25,2018,2,404,云南,61e73e32ad101892
26,2018,3,355,云南,61e73e32ad101892
27,2018,4,358,云南,61e73e32ad101892
24,2018,1,2483,云南,63065128401bb3ff
25,2018,2,2906,云南,63065128401bb3ff
26,2018,3,2567,云南,63065128401bb3ff
27,2018,4,2626,云南,63065128401bb3ff
24,2018,1,1552,云南,6858d6dfe680bdf7
25,2018,2,1905,云南,6858d6dfe680bdf7
26,2018,3,1491,云南,6858d6dfe680bdf7
27,2018,4,1481,云南,6858d6dfe680bdf7
24,2018,1,731,云南,7023efdab9cedc03
25,2018,2,801,云南,7023efdab9cedc03
26,2018,3,793,云南,7023efdab9cedc03
27,2018,4,786,云南,7023efdab9cedc03
24,2018,1,1431,云南,7245e0ee27b195cd
25,2018,2,1511,云南,7245e0ee27b195cd
26,2018,3,1672,云南,7245e0ee27b195cd
27,2018,4,1718,云南,7245e0ee27b195cd
24,2018,1,4930,云南,79de4e4b24c35b04
25,2018,2,6037,云南,79de4e4b24c35b04
26,2018,3,3614,云南,79de4e4b24c35b04
27,2018,4,3645,云南,79de4e4b24c35b04
24,2018,1,514,云南,7a7885e2d7c00bcf
25,2018,2,639,云南,7a7885e2d7c00bcf
26,2018,3,646,云南,7a7885e2d7c00bcf
27,2018,4,646,云南,7a7885e2d7c00bcf
24,2018,1,110,云南,7aab7fca2470987e
25,2018,2,122,云南,7aab7fca2470987e
26,2018,3,122,云南,7aab7fca2470987e
27,2018,4,122,云南,7aab7fca2470987e
24,2018,1,1261,云南,7cf283430b3b5e38
25,2018,2,1412,云南,7cf283430b3b5e38
26,2018,3,1387,云南,7cf283430b3b5e38
27,2018,4,1410,云南,7cf283430b3b5e38
24,2018,1,1199,云南,8c915fe4632fb9fa
25,2018,2,1315,云南,8c915fe4632fb9fa
26,2018,3,1392,云南,8c915fe4632fb9fa
27,2018,4,1417,云南,8c915fe4632fb9fa
24,2018,1,148,云南,936168bd4850913d
25,2018,2,168,云南,936168bd4850913d
26,2018,3,233,云南,936168bd4850913d
27,2018,4,241,云南,936168bd4850913d
24,2018,1,1209,云南,97f15de12cfabbd5
25,2018,2,1429,云南,97f15de12cfabbd5
26,2018,3,1220,云南,97f15de12cfabbd5
27,2018,4,1244,云南,97f15de12cfabbd5
24,2018,1,149,云南,9c1c7ee8ebdda299
25,2018,2,181,云南,9c1c7ee8ebdda299
26,2018,3,265,云南,9c1c7ee8ebdda299
27,2018,4,260,云南,9c1c7ee8ebdda299
24,2018,1,1343,云南,a207df29ec9583f0
25,2018,2,1501,云南,a207df29ec9583f0
26,2018,3,1620,云南,a207df29ec9583f0
27,2018,4,1635,云南,a207df29ec9583f0
24,2018,1,591,云南,a28bb927b6fcb33c
25,2018,2,664,云南,a28bb927b6fcb33c
26,2018,3,624,云南,a28bb927b6fcb33c
27,2018,4,635,云南,a28bb927b6fcb33c
24,2018,1,263,云南,a432c483b5beb856
25,2018,2,321,云南,a432c483b5beb856
26,2018,3,249,云南,a432c483b5beb856
27,2018,4,249,云南,a432c483b5beb856
24,2018,1,545,云南,a9a43d1a7ecbe75d
25,2018,2,578,云南,a9a43d1a7ecbe75d
26,2018,3,851,云南,a9a43d1a7ecbe75d
27,2018,4,880,云南,a9a43d1a7ecbe75d
24,2018,1,1594,云南,af6f4f548684e14d
25,2018,2,1886,云南,af6f4f548684e14d
26,2018,3,1429,云南,af6f4f548684e14d
27,2018,4,1414,云南,af6f4f548684e14d
24,2018,1,2133,云南,b25c4e2e3856af22
25,2018,2,2566,云南,b25c4e2e3856af22
26,2018,3,2155,云南,b25c4e2e3856af22
27,2018,4,2179,云南,b25c4e2e3856af22
24,2018,1,2632,云南,b4be3a4917289c82
25,2018,2,3274,云南,b4be3a4917289c82
26,2018,3,3060,云南,b4be3a4917289c82
27,2018,4,3104,云南,b4be3a4917289c82
24,2018,1,2391,云南,bb9fbec9a2833839
25,2018,2,2855,云南,bb9fbec9a2833839
26,2018,3,2556,云南,bb9fbec9a2833839
27,2018,4,2555,云南,bb9fbec9a2833839
24,2018,1,795,云南,c06a2a387c0ee510
25,2018,2,886,云南,c06a2a387c0ee510
26,2018,3,923,云南,c06a2a387c0ee510
27,2018,4,945,云南,c06a2a387c0ee510
24,2018,1,468,云南,c6833cb891626c17
25,2018,2,563,云南,c6833cb891626c17
26,2018,3,373,云南,c6833cb891626c17
27,2018,4,352,云南,c6833cb891626c17
24,2018,1,220,云南,c6cd4e0e073f5ac2
25,2018,2,307,云南,c6cd4e0e073f5ac2
26,2018,3,231,云南,c6cd4e0e073f5ac2
27,2018,4,208,云南,c6cd4e0e073f5ac2
24,2018,1,1228,云南,cc21c7e91a3b5a0c
25,2018,2,1496,云南,cc21c7e91a3b5a0c
26,2018,3,1260,云南,cc21c7e91a3b5a0c
27,2018,4,1254,云南,cc21c7e91a3b5a0c
24,2018,1,859,云南,cd5841d44fd7625e
25,2018,2,1057,云南,cd5841d44fd7625e
26,2018,3,921,云南,cd5841d44fd7625e
27,2018,4,920,云南,cd5841d44fd7625e
24,2018,1,660,云南,d0f245b8781e3631
25,2018,2,677,云南,d0f245b8781e3631
26,2018,3,723,云南,d0f245b8781e3631
27,2018,4,712,云南,d0f245b8781e3631
24,2018,1,5008,云南,d4efbebb087fd03f
25,2018,2,5191,云南,d4efbebb087fd03f
26,2018,3,8063,云南,d4efbebb087fd03f
27,2018,4,8260,云南,d4efbebb087fd03f
24,2018,1,3727,云南,da457d15788fe8ee
25,2018,2,4273,云南,da457d15788fe8ee
26,2018,3,3847,云南,da457d15788fe8ee
27,2018,4,3919,云南,da457d15788fe8ee
24,2018,1,196,云南,dff803b4024d261d
25,2018,2,226,云南,dff803b4024d261d
26,2018,3,257,云南,dff803b4024d261d
27,2018,4,263,云南,dff803b4024d261d
24,2018,1,950,云南,ea489c253676aafc
25,2018,2,1105,云南,ea489c253676aafc
26,2018,3,1142,云南,ea489c253676aafc
27,2018,4,1174,云南,ea489c253676aafc
24,2018,1,3225,云南,ef76a85c4b39f693
25,2018,2,4014,云南,ef76a85c4b39f693
26,2018,3,3308,云南,ef76a85c4b39f693
27,2018,4,3300,云南,ef76a85c4b39f693
24,2018,1,1702,云南,f270f6a489c6a9d7
25,2018,2,1840,云南,f270f6a489c6a9d7
26,2018,3,1779,云南,f270f6a489c6a9d7
27,2018,4,1799,云南,f270f6a489c6a9d7
24,2018,1,1676,云南,f5d69960089c3614
25,2018,2,1874,云南,f5d69960089c3614
26,2018,3,1679,云南,f5d69960089c3614
27,2018,4,1709,云南,f5d69960089c3614
24,2018,1,2092,云南,f8a6975573af1b33
25,2018,2,2637,云南,f8a6975573af1b33
26,2018,3,1576,云南,f8a6975573af1b33
27,2018,4,1529,云南,f8a6975573af1b33
24,2018,1,1122,云南,fc32b1a017b34efe
25,2018,2,1405,云南,fc32b1a017b34efe
26,2018,3,1046,云南,fc32b1a017b34efe
27,2018,4,986,云南,fc32b1a017b34efe
24,2018,1,1683,云南,fde95ea242abd896
25,2018,2,1912,云南,fde95ea242abd896
26,2018,3,1212,云南,fde95ea242abd896
27,2018,4,1186,云南,fde95ea242abd896
24,2018,1,6282,云南,feabbf46658382b9
25,2018,2,7402,云南,feabbf46658382b9
26,2018,3,5107,云南,feabbf46658382b9
27,2018,4,5080,云南,feabbf46658382b9
24,2018,1,269,内蒙古,02aab221aabc03b9
25,2018,2,166,内蒙古,02aab221aabc03b9
26,2018,3,165,内蒙古,02aab221aabc03b9
27,2018,4,172,内蒙古,02aab221aabc03b9
24,2018,1,247,内蒙古,04e66e578f653ab9
25,2018,2,272,内蒙古,04e66e578f653ab9
26,2018,3,268,内蒙古,04e66e578f653ab9
27,2018,4,257,内蒙古,04e66e578f653ab9
24,2018,1,249,内蒙古,06880909932890ca
25,2018,2,322,内蒙古,06880909932890ca
26,2018,3,249,内蒙古,06880909932890ca
27,2018,4,239,内蒙古,06880909932890ca
24,2018,1,382,内蒙古,0797526c057dcf5b
25,2018,2,412,内蒙古,0797526c057dcf5b
26,2018,3,338,内蒙古,0797526c057dcf5b
27,2018,4,340,内蒙古,0797526c057dcf5b
24,2018,1,1086,内蒙古,12f8b7e14947c34d
25,2018,2,1305,内蒙古,12f8b7e14947c34d
26,2018,3,1157,内蒙古,12f8b7e14947c34d
27,2018,4,1137,内蒙古,12f8b7e14947c34d
24,2018,1,1054,内蒙古,17363f08d683d52b
25,2018,2,1108,内蒙古,17363f08d683d52b
26,2018,3,761,内蒙古,17363f08d683d52b
27,2018,4,721,内蒙古,17363f08d683d52b
24,2018,1,1876,内蒙古,17bc272c93f19d56
25,2018,2,2419,内蒙古,17bc272c93f19d56
26,2018,3,1534,内蒙古,17bc272c93f19d56
27,2018,4,1514,内蒙古,17bc272c93f19d56
24,2018,1,1153,内蒙古,212083a9246d2fd3
25,2018,2,1190,内蒙古,212083a9246d2fd3
26,2018,3,901,内蒙古,212083a9246d2fd3
27,2018,4,854,内蒙古,212083a9246d2fd3
24,2018,1,334,内蒙古,28e29f2c03dcd84c
25,2018,2,404,内蒙古,28e29f2c03dcd84c
26,2018,3,415,内蒙古,28e29f2c03dcd84c
27,2018,4,414,内蒙古,28e29f2c03dcd84c
24,2018,1,1988,内蒙古,2a2ab41f8f6ff1cb
25,2018,2,2192,内蒙古,2a2ab41f8f6ff1cb
26,2018,3,1762,内蒙古,2a2ab41f8f6ff1cb
27,2018,4,1811,内蒙古,2a2ab41f8f6ff1cb
24,2018,1,662,内蒙古,2d0d2c3403909fdb
25,2018,2,885,内蒙古,2d0d2c3403909fdb
26,2018,3,583,内蒙古,2d0d2c3403909fdb
27,2018,4,570,内蒙古,2d0d2c3403909fdb
24,2018,1,161,内蒙古,346393c2c6305fb1
25,2018,2,166,内蒙古,346393c2c6305fb1
26,2018,3,184,内蒙古,346393c2c6305fb1
27,2018,4,183,内蒙古,346393c2c6305fb1
24,2018,1,1173,内蒙古,37aa9169b575ef79
25,2018,2,1172,内蒙古,37aa9169b575ef79
26,2018,3,917,内蒙古,37aa9169b575ef79
27,2018,4,918,内蒙古,37aa9169b575ef79
24,2018,1,966,内蒙古,3c974920a76ac9c1
25,2018,2,1122,内蒙古,3c974920a76ac9c1
26,2018,3,636,内蒙古,3c974920a76ac9c1
27,2018,4,610,内蒙古,3c974920a76ac9c1
24,2018,1,1333,内蒙古,3d7554f1f56dd664
25,2018,2,1539,内蒙古,3d7554f1f56dd664
26,2018,3,1276,内蒙古,3d7554f1f56dd664
27,2018,4,1291,内蒙古,3d7554f1f56dd664
24,2018,1,477,内蒙古,3e21824be728cbec
25,2018,2,553,内蒙古,3e21824be728cbec
26,2018,3,447,内蒙古,3e21824be728cbec
27,2018,4,440,内蒙古,3e21824be728cbec
24,2018,1,1314,内蒙古,4a103c30d593fbbe
25,2018,2,1360,内蒙古,4a103c30d593fbbe
26,2018,3,1156,内蒙古,4a103c30d593fbbe
27,2018,4,1111,内蒙古,4a103c30d593fbbe
24,2018,1,759,内蒙古,4f79773e600518a6
25,2018,2,854,内蒙古,4f79773e600518a6
26,2018,3,576,内蒙古,4f79773e600518a6
27,2018,4,526,内蒙古,4f79773e600518a6
24,2018,1,1389,内蒙古,54fc07138d70374c
25,2018,2,1697,内蒙古,54fc07138d70374c
26,2018,3,1083,内蒙古,54fc07138d70374c
27,2018,4,1066,内蒙古,54fc07138d70374c
24,2018,1,115,内蒙古,5b1c11c3efed5312
25,2018,2,81,内蒙古,5b1c11c3efed5312
26,2018,3,16,内蒙古,5b1c11c3efed5312
27,2018,4,-26,内蒙古,5b1c11c3efed5312
24,2018,1,548,内蒙古,5d7fb682edd0f937
25,2018,2,577,内蒙古,5d7fb682edd0f937
26,2018,3,624,内蒙古,5d7fb682edd0f937
27,2018,4,637,内蒙古,5d7fb682edd0f937
24,2018,1,2190,内蒙古,6155b214590c66e6
25,2018,2,2386,内蒙古,6155b214590c66e6
26,2018,3,2426,内蒙古,6155b214590c66e6
27,2018,4,2401,内蒙古,6155b214590c66e6
24,2018,1,298,内蒙古,61e73e32ad101892
25,2018,2,353,内蒙古,61e73e32ad101892
