id,province,adcode,model,regYear,regMonth,forecastVolum
76,广西,450000,a28bb927b6fcb33c,2018,1,409
77,江苏,320000,a28bb927b6fcb33c,2018,1,962
78,江西,360000,a28bb927b6fcb33c,2018,1,359
79,河北,130000,a28bb927b6fcb33c,2018,1,397
80,河南,410000,a28bb927b6fcb33c,2018,1,570
81,浙江,330000,a28bb927b6fcb33c,2018,1,1254
82,湖北,420000,a28bb927b6fcb33c,2018,1,571
83,湖南,430000,a28bb927b6fcb33c,2018,1,571
84,福建,350000,a28bb927b6fcb33c,2018,1,552
85,辽宁,210000,a28bb927b6fcb33c,2018,1,310
86,重庆,500000,a28bb927b6fcb33c,2018,1,115
87,陕西,610000,a28bb927b6fcb33c,2018,1,232
88,黑龙江,230000,a28bb927b6fcb33c,2018,1,161
89,上海,310000,17bc272c93f19d56,2018,1,207
90,云南,530000,17bc272c93f19d56,2018,1,4863
91,内蒙古,150000,17bc272c93f19d56,2018,1,631
92,北京,110000,17bc272c93f19d56,2018,1,83
93,四川,510000,17bc272c93f19d56,2018,1,1766
94,安徽,340000,17bc272c93f19d56,2018,1,2084
95,山东,370000,17bc272c93f19d56,2018,1,4468
96,山西,140000,17bc272c93f19d56,2018,1,2311
97,广东,440000,17bc272c93f19d56,2018,1,1835
98,广西,450000,17bc272c93f19d56,2018,1,2629
99,江苏,320000,17bc272c93f19d56,2018,1,2285
100,江西,360000,17bc272c93f19d56,2018,1,1092
101,河北,130000,17bc272c93f19d56,2018,1,4559
102,河南,410000,17bc272c93f19d56,2018,1,5452
103,浙江,330000,17bc272c93f19d56,2018,1,1498
104,湖北,420000,17bc272c93f19d56,2018,1,1927
105,湖南,430000,17bc272c93f19d56,2018,1,2099
106,福建,350000,17bc272c93f19d56,2018,1,565
107,辽宁,210000,17bc272c93f19d56,2018,1,1075
108,重庆,500000,17bc272c93f19d56,2018,1,283
109,陕西,610000,17bc272c93f19d56,2018,1,2305
110,黑龙江,230000,17bc272c93f19d56,2018,1,489
111,上海,310000,2a2ab41f8f6ff1cb,2018,1,497
112,云南,530000,2a2ab41f8f6ff1cb,2018,1,706
113,内蒙古,150000,2a2ab41f8f6ff1cb,2018,1,618
114,北京,110000,2a2ab41f8f6ff1cb,2018,1,124
115,四川,510000,2a2ab41f8f6ff1cb,2018,1,1406
116,安徽,340000,2a2ab41f8f6ff1cb,2018,1,1733
117,山东,370000,2a2ab41f8f6ff1cb,2018,1,2323
118,山西,140000,2a2ab41f8f6ff1cb,2018,1,735
119,广东,440000,2a2ab41f8f6ff1cb,2018,1,6839
120,广西,450000,2a2ab41f8f6ff1cb,2018,1,903
121,江苏,320000,2a2ab41f8f6ff1cb,2018,1,1964
122,江西,360000,2a2ab41f8f6ff1cb,2018,1,1211
123,河北,130000,2a2ab41f8f6ff1cb,2018,1,2974
124,河南,410000,2a2ab41f8f6ff1cb,2018,1,3715
125,浙江,330000,2a2ab41f8f6ff1cb,2018,1,1208
126,湖北,420000,2a2ab41f8f6ff1cb,2018,1,1746
127,湖南,430000,2a2ab41f8f6ff1cb,2018,1,1863
128,福建,350000,2a2ab41f8f6ff1cb,2018,1,418
129,辽宁,210000,2a2ab41f8f6ff1cb,2018,1,391
130,重庆,500000,2a2ab41f8f6ff1cb,2018,1,857
131,陕西,610000,2a2ab41f8f6ff1cb,2018,1,795
132,黑龙江,230000,2a2ab41f8f6ff1cb,2018,1,490
133,上海,310000,c06a2a387c0ee510,2018,1,1528
134,云南,530000,c06a2a387c0ee510,2018,1,214
135,内蒙古,150000,c06a2a387c0ee510,2018,1,175
136,北京,110000,c06a2a387c0ee510,2018,1,1825
137,四川,510000,c06a2a387c0ee510,2018,1,366
138,安徽,340000,c06a2a387c0ee510,2018,1,423
139,山东,370000,c06a2a387c0ee510,2018,1,1445
140,山西,140000,c06a2a387c0ee510,2018,1,334
141,广东,440000,c06a2a387c0ee510,2018,1,1301
142,广西,450000,c06a2a387c0ee510,2018,1,153
143,江苏,320000,c06a2a387c0ee510,2018,1,1444
144,江西,360000,c06a2a387c0ee510,2018,1,211
145,河北,130000,c06a2a387c0ee510,2018,1,869
146,河南,410000,c06a2a387c0ee510,2018,1,904
147,浙江,330000,c06a2a387c0ee510,2018,1,1004
148,湖北,420000,c06a2a387c0ee510,2018,1,293
149,湖南,430000,c06a2a387c0ee510,2018,1,214
150,福建,350000,c06a2a387c0ee510,2018,1,231
151,辽宁,210000,c06a2a387c0ee510,2018,1,376
152,重庆,500000,c06a2a387c0ee510,2018,1,128
153,陕西,610000,c06a2a387c0ee510,2018,1,395
154,黑龙江,230000,c06a2a387c0ee510,2018,1,260
155,上海,310000,7023efdab9cedc03,2018,1,288
156,云南,530000,7023efdab9cedc03,2018,1,56
157,内蒙古,150000,7023efdab9cedc03,2018,1,30
158,北京,110000,7023efdab9cedc03,2018,1,29
159,四川,510000,7023efdab9cedc03,2018,1,288
160,安徽,340000,7023efdab9cedc03,2018,1,459
161,山东,370000,7023efdab9cedc03,2018,1,276
162,山西,140000,7023efdab9cedc03,2018,1,44
163,广东,440000,7023efdab9cedc03,2018,1,258
164,广西,450000,7023efdab9cedc03,2018,1,92
165,江苏,320000,7023efdab9cedc03,2018,1,830
166,江西,360000,7023efdab9cedc03,2018,1,215
167,河北,130000,7023efdab9cedc03,2018,1,138
168,河南,410000,7023efdab9cedc03,2018,1,246
169,浙江,330000,7023efdab9cedc03,2018,1,410
170,湖北,420000,7023efdab9cedc03,2018,1,258
171,湖南,430000,7023efdab9cedc03,2018,1,237
172,福建,350000,7023efdab9cedc03,2018,1,104
173,辽宁,210000,7023efdab9cedc03,2018,1,29
174,重庆,500000,7023efdab9cedc03,2018,1,70
175,陕西,610000,7023efdab9cedc03,2018,1,117
176,黑龙江,230000,7023efdab9cedc03,2018,1,20
177,上海,310000,af6f4f548684e14d,2018,1,1081
178,云南,530000,af6f4f548684e14d,2018,1,399
179,内蒙古,150000,af6f4f548684e14d,2018,1,342
180,北京,110000,af6f4f548684e14d,2018,1,655
181,四川,510000,af6f4f548684e14d,2018,1,1217
182,安徽,340000,af6f4f548684e14d,2018,1,1228
183,山东,370000,af6f4f548684e14d,2018,1,1130
184,山西,140000,af6f4f548684e14d,2018,1,447
185,广东,440000,af6f4f548684e14d,2018,1,1124
186,广西,450000,af6f4f548684e14d,2018,1,365
187,江苏,320000,af6f4f548684e14d,2018,1,1678
188,江西,360000,af6f4f548684e14d,2018,1,1042
189,河北,130000,af6f4f548684e14d,2018,1,820
190,河南,410000,af6f4f548684e14d,2018,1,1227
191,浙江,330000,af6f4f548684e14d,2018,1,1192
192,湖北,420000,af6f4f548684e14d,2018,1,1274
193,湖南,430000,af6f4f548684e14d,2018,1,1416
194,福建,350000,af6f4f548684e14d,2018,1,587
195,辽宁,210000,af6f4f548684e14d,2018,1,321
196,重庆,500000,af6f4f548684e14d,2018,1,508
197,陕西,610000,af6f4f548684e14d,2018,1,444
198,黑龙江,230000,af6f4f548684e14d,2018,1,136
199,上海,310000,7cf283430b3b5e38,2018,1,726
200,云南,530000,7cf283430b3b5e38,2018,1,401
201,内蒙古,150000,7cf283430b3b5e38,2018,1,397
202,北京,110000,7cf283430b3b5e38,2018,1,92
203,四川,510000,7cf283430b3b5e38,2018,1,1472
204,安徽,340000,7cf283430b3b5e38,2018,1,2148
205,山东,370000,7cf283430b3b5e38,2018,1,3036
206,山西,140000,7cf283430b3b5e38,2018,1,714
207,广东,440000,7cf283430b3b5e38,2018,1,1246
208,广西,450000,7cf283430b3b5e38,2018,1,824
209,江苏,320000,7cf283430b3b5e38,2018,1,3254
210,江西,360000,7cf283430b3b5e38,2018,1,1734
211,河北,130000,7cf283430b3b5e38,2018,1,1727
212,河南,410000,7cf283430b3b5e38,2018,1,2974
213,浙江,330000,7cf283430b3b5e38,2018,1,1761
214,湖北,420000,7cf283430b3b5e38,2018,1,1394
215,湖南,430000,7cf283430b3b5e38,2018,1,1441
216,福建,350000,7cf283430b3b5e38,2018,1,941
217,辽宁,210000,7cf283430b3b5e38,2018,1,385
218,重庆,500000,7cf283430b3b5e38,2018,1,487
219,陕西,610000,7cf283430b3b5e38,2018,1,780
220,黑龙江,230000,7cf283430b3b5e38,2018,1,138
221,上海,310000,d4efbebb087fd03f,2018,1,101
222,云南,530000,d4efbebb087fd03f,2018,1,460
223,内蒙古,150000,d4efbebb087fd03f,2018,1,308
224,北京,110000,d4efbebb087fd03f,2018,1,305
225,四川,510000,d4efbebb087fd03f,2018,1,1640
226,安徽,340000,d4efbebb087fd03f,2018,1,1096
227,山东,370000,d4efbebb087fd03f,2018,1,2320
228,山西,140000,d4efbebb087fd03f,2018,1,1030
229,广东,440000,d4efbebb087fd03f,2018,1,1446
230,广西,450000,d4efbebb087fd03f,2018,1,940
231,江苏,320000,d4efbebb087fd03f,2018,1,1124
232,江西,360000,d4efbebb087fd03f,2018,1,1173
233,河北,130000,d4efbebb087fd03f,2018,1,1636
234,河南,410000,d4efbebb087fd03f,2018,1,2975
235,浙江,330000,d4efbebb087fd03f,2018,1,2036
236,湖北,420000,d4efbebb087fd03f,2018,1,1334
237,湖南,430000,d4efbebb087fd03f,2018,1,1188
238,福建,350000,d4efbebb087fd03f,2018,1,693
239,辽宁,210000,d4efbebb087fd03f,2018,1,251
240,重庆,500000,d4efbebb087fd03f,2018,1,620
241,陕西,610000,d4efbebb087fd03f,2018,1,1586
242,黑龙江,230000,d4efbebb087fd03f,2018,1,167
243,上海,310000,7245e0ee27b195cd,2018,1,76
244,云南,530000,7245e0ee27b195cd,2018,1,561
245,内蒙古,150000,7245e0ee27b195cd,2018,1,461
246,北京,110000,7245e0ee27b195cd,2018,1,45
247,四川,510000,7245e0ee27b195cd,2018,1,985
248,安徽,340000,7245e0ee27b195cd,2018,1,775
249,山东,370000,7245e0ee27b195cd,2018,1,1748
250,山西,140000,7245e0ee27b195cd,2018,1,1012
251,广东,440000,7245e0ee27b195cd,2018,1,1217
252,广西,450000,7245e0ee27b195cd,2018,1,684
253,江苏,320000,7245e0ee27b195cd,2018,1,748
254,江西,360000,7245e0ee27b195cd,2018,1,775
255,河北,130000,7245e0ee27b195cd,2018,1,1816
256,河南,410000,7245e0ee27b195cd,2018,1,1921
257,浙江,330000,7245e0ee27b195cd,2018,1,679
258,湖北,420000,7245e0ee27b195cd,2018,1,787
259,湖南,430000,7245e0ee27b195cd,2018,1,880
260,福建,350000,7245e0ee27b195cd,2018,1,356
261,辽宁,210000,7245e0ee27b195cd,2018,1,448
262,重庆,500000,7245e0ee27b195cd,2018,1,432
263,陕西,610000,7245e0ee27b195cd,2018,1,1132
264,黑龙江,230000,7245e0ee27b195cd,2018,1,286
265,上海,310000,8c915fe4632fb9fa,2018,1,162
266,云南,530000,8c915fe4632fb9fa,2018,1,1351
267,内蒙古,150000,8c915fe4632fb9fa,2018,1,740
268,北京,110000,8c915fe4632fb9fa,2018,1,58
269,四川,510000,8c915fe4632fb9fa,2018,1,2160
270,安徽,340000,8c915fe4632fb9fa,2018,1,1684
271,山东,370000,8c915fe4632fb9fa,2018,1,3030
272,山西,140000,8c915fe4632fb9fa,2018,1,1108
273,广东,440000,8c915fe4632fb9fa,2018,1,1322
274,广西,450000,8c915fe4632fb9fa,2018,1,929
275,江苏,320000,8c915fe4632fb9fa,2018,1,1759
276,江西,360000,8c915fe4632fb9fa,2018,1,1203
277,河北,130000,8c915fe4632fb9fa,2018,1,2774
278,河南,410000,8c915fe4632fb9fa,2018,1,2999
279,浙江,330000,8c915fe4632fb9fa,2018,1,1093
280,湖北,420000,8c915fe4632fb9fa,2018,1,1420
281,湖南,430000,8c915fe4632fb9fa,2018,1,1473
282,福建,350000,8c915fe4632fb9fa,2018,1,665
283,辽宁,210000,8c915fe4632fb9fa,2018,1,411
284,重庆,500000,8c915fe4632fb9fa,2018,1,586
285,陕西,610000,8c915fe4632fb9fa,2018,1,1298
286,黑龙江,230000,8c915fe4632fb9fa,2018,1,617
287,上海,310000,6155b214590c66e6,2018,1,375
288,云南,530000,6155b214590c66e6,2018,1,1618
289,内蒙古,150000,6155b214590c66e6,2018,1,1230
290,北京,110000,6155b214590c66e6,2018,1,255
291,四川,510000,6155b214590c66e6,2018,1,3020
292,安徽,340000,6155b214590c66e6,2018,1,2926
293,山东,370000,6155b214590c66e6,2018,1,4635
294,山西,140000,6155b214590c66e6,2018,1,1086
295,广东,440000,6155b214590c66e6,2018,1,2620
296,广西,450000,6155b214590c66e6,2018,1,1122
297,江苏,320000,6155b214590c66e6,2018,1,3520
298,江西,360000,6155b214590c66e6,2018,1,1834
299,河北,130000,6155b214590c66e6,2018,1,3288
300,河南,410000,6155b214590c66e6,2018,1,6473
301,浙江,330000,6155b214590c66e6,2018,1,2298
302,湖北,420000,6155b214590c66e6,2018,1,2365
303,湖南,430000,6155b214590c66e6,2018,1,2917
304,福建,350000,6155b214590c66e6,2018,1,831
305,辽宁,210000,6155b214590c66e6,2018,1,1169
306,重庆,500000,6155b214590c66e6,2018,1,1077
307,陕西,610000,6155b214590c66e6,2018,1,1388
308,黑龙江,230000,6155b214590c66e6,2018,1,828
309,上海,310000,28e29f2c03dcd84c,2018,1,846
310,云南,530000,28e29f2c03dcd84c,2018,1,620
311,内蒙古,150000,28e29f2c03dcd84c,2018,1,604
312,北京,110000,28e29f2c03dcd84c,2018,1,1239
313,四川,510000,28e29f2c03dcd84c,2018,1,1013
314,安徽,340000,28e29f2c03dcd84c,2018,1,1190
315,山东,370000,28e29f2c03dcd84c,2018,1,1539
316,山西,140000,28e29f2c03dcd84c,2018,1,1015
317,广东,440000,28e29f2c03dcd84c,2018,1,631
318,广西,450000,28e29f2c03dcd84c,2018,1,202
319,江苏,320000,28e29f2c03dcd84c,2018,1,1993
320,江西,360000,28e29f2c03dcd84c,2018,1,421
321,河北,130000,28e29f2c03dcd84c,2018,1,1988
322,河南,410000,28e29f2c03dcd84c,2018,1,1415
323,浙江,330000,28e29f2c03dcd84c,2018,1,911
324,湖北,420000,28e29f2c03dcd84c,2018,1,474
325,湖南,430000,28e29f2c03dcd84c,2018,1,562
326,福建,350000,28e29f2c03dcd84c,2018,1,405
327,辽宁,210000,28e29f2c03dcd84c,2018,1,271
328,重庆,500000,28e29f2c03dcd84c,2018,1,545
329,陕西,610000,28e29f2c03dcd84c,2018,1,822
330,黑龙江,230000,28e29f2c03dcd84c,2018,1,82
331,上海,310000,37aa9169b575ef79,2018,1,102
332,云南,530000,37aa9169b575ef79,2018,1,1152
333,内蒙古,150000,37aa9169b575ef79,2018,1,774
334,北京,110000,37aa9169b575ef79,2018,1,50
335,四川,510000,37aa9169b575ef79,2018,1,1992
336,安徽,340000,37aa9169b575ef79,2018,1,259
337,山东,370000,37aa9169b575ef79,2018,1,2131
338,山西,140000,37aa9169b575ef79,2018,1,896
339,广东,440000,37aa9169b575ef79,2018,1,1784
340,广西,450000,37aa9169b575ef79,2018,1,544
341,江苏,320000,37aa9169b575ef79,2018,1,565
342,江西,360000,37aa9169b575ef79,2018,1,398
343,河北,130000,37aa9169b575ef79,2018,1,2486
344,河南,410000,37aa9169b575ef79,2018,1,1745
345,浙江,330000,37aa9169b575ef79,2018,1,456
346,湖北,420000,37aa9169b575ef79,2018,1,406
347,湖南,430000,37aa9169b575ef79,2018,1,1522
348,福建,350000,37aa9169b575ef79,2018,1,297
349,辽宁,210000,37aa9169b575ef79,2018,1,869
350,重庆,500000,37aa9169b575ef79,2018,1,131
351,陕西,610000,37aa9169b575ef79,2018,1,632
352,黑龙江,230000,37aa9169b575ef79,2018,1,1157
353,上海,310000,63065128401bb3ff,2018,1,2516
354,云南,530000,63065128401bb3ff,2018,1,1124
355,内蒙古,150000,63065128401bb3ff,2018,1,471
356,北京,110000,63065128401bb3ff,2018,1,106
357,四川,510000,63065128401bb3ff,2018,1,1964
358,安徽,340000,63065128401bb3ff,2018,1,1949
359,山东,370000,63065128401bb3ff,2018,1,2475
360,山西,140000,63065128401bb3ff,2018,1,1081
361,广东,440000,63065128401bb3ff,2018,1,633
362,广西,450000,63065128401bb3ff,2018,1,430
363,江苏,320000,63065128401bb3ff,2018,1,2794
364,江西,360000,63065128401bb3ff,2018,1,1262
365,河北,130000,63065128401bb3ff,2018,1,2957
366,河南,410000,63065128401bb3ff,2018,1,3858
367,浙江,330000,63065128401bb3ff,2018,1,1131
368,湖北,420000,63065128401bb3ff,2018,1,1262
369,湖南,430000,63065128401bb3ff,2018,1,1519
370,福建,350000,63065128401bb3ff,2018,1,692
371,辽宁,210000,63065128401bb3ff,2018,1,430
372,重庆,500000,63065128401bb3ff,2018,1,806
373,陕西,610000,63065128401bb3ff,2018,1,1095
374,黑龙江,230000,63065128401bb3ff,2018,1,212
375,上海,310000,ea489c253676aafc,2018,1,162
376,云南,530000,ea489c253676aafc,2018,1,676
377,内蒙古,150000,ea489c253676aafc,2018,1,728
378,北京,110000,ea489c253676aafc,2018,1,31
379,四川,510000,ea489c253676aafc,2018,1,1188
380,安徽,340000,ea489c253676aafc,2018,1,912
381,山东,370000,ea489c253676aafc,2018,1,3189
382,山西,140000,ea489c253676aafc,2018,1,1619
383,广东,440000,ea489c253676aafc,2018,1,587
384,广西,450000,ea489c253676aafc,2018,1,384
385,江苏,320000,ea489c253676aafc,2018,1,1359
386,江西,360000,ea489c253676aafc,2018,1,622
387,河北,130000,ea489c253676aafc,2018,1,3233
388,河南,410000,ea489c253676aafc,2018,1,2227
389,浙江,330000,ea489c253676aafc,2018,1,383
390,湖北,420000,ea489c253676aafc,2018,1,229
391,湖南,430000,ea489c253676aafc,2018,1,400
392,福建,350000,ea489c253676aafc,2018,1,274
393,辽宁,210000,ea489c253676aafc,2018,1,721
394,重庆,500000,ea489c253676aafc,2018,1,273
395,陕西,610000,ea489c253676aafc,2018,1,1036
396,黑龙江,230000,ea489c253676aafc,2018,1,585
397,上海,310000,cd5841d44fd7625e,2018,1,406
398,云南,530000,cd5841d44fd7625e,2018,1,502
399,内蒙古,150000,cd5841d44fd7625e,2018,1,651
400,北京,110000,cd5841d44fd7625e,2018,1,1260
401,四川,510000,cd5841d44fd7625e,2018,1,1652
402,安徽,340000,cd5841d44fd7625e,2018,1,846
403,山东,370000,cd5841d44fd7625e,2018,1,2348
404,山西,140000,cd5841d44fd7625e,2018,1,525
405,广东,440000,cd5841d44fd7625e,2018,1,1089
406,广西,450000,cd5841d44fd7625e,2018,1,312
407,江苏,320000,cd5841d44fd7625e,2018,1,1553
408,江西,360000,cd5841d44fd7625e,2018,1,460
409,河北,130000,cd5841d44fd7625e,2018,1,2204
410,河南,410000,cd5841d44fd7625e,2018,1,1932
411,浙江,330000,cd5841d44fd7625e,2018,1,989
412,湖北,420000,cd5841d44fd7625e,2018,1,719
413,湖南,430000,cd5841d44fd7625e,2018,1,662
414,福建,350000,cd5841d44fd7625e,2018,1,535
415,辽宁,210000,cd5841d44fd7625e,2018,1,902
416,重庆,500000,cd5841d44fd7625e,2018,1,538
417,陕西,610000,cd5841d44fd7625e,2018,1,619
418,黑龙江,230000,cd5841d44fd7625e,2018,1,994
419,上海,310000,b25c4e2e3856af22,2018,1,503
420,云南,530000,b25c4e2e3856af22,2018,1,486
421,内蒙古,150000,b25c4e2e3856af22,2018,1,218
422,北京,110000,b25c4e2e3856af22,2018,1,44
423,四川,510000,b25c4e2e3856af22,2018,1,826
424,安徽,340000,b25c4e2e3856af22,2018,1,802
425,山东,370000,b25c4e2e3856af22,2018,1,795
426,山西,140000,b25c4e2e3856af22,2018,1,95
427,广东,440000,b25c4e2e3856af22,2018,1,582
428,广西,450000,b25c4e2e3856af22,2018,1,159
429,江苏,320000,b25c4e2e3856af22,2018,1,1197
430,江西,360000,b25c4e2e3856af22,2018,1,547
431,河北,130000,b25c4e2e3856af22,2018,1,530
432,河南,410000,b25c4e2e3856af22,2018,1,584
433,浙江,330000,b25c4e2e3856af22,2018,1,1129
434,湖北,420000,b25c4e2e3856af22,2018,1,733
435,湖南,430000,b25c4e2e3856af22,2018,1,797
436,福建,350000,b25c4e2e3856af22,2018,1,389
437,辽宁,210000,b25c4e2e3856af22,2018,1,190
438,重庆,500000,b25c4e2e3856af22,2018,1,322
439,陕西,610000,b25c4e2e3856af22,2018,1,273
440,黑龙江,230000,b25c4e2e3856af22,2018,1,114
441,上海,310000,4a103c30d593fbbe,2018,1,426
442,云南,530000,4a103c30d593fbbe,2018,1,489
443,内蒙古,150000,4a103c30d593fbbe,2018,1,500
444,北京,110000,4a103c30d593fbbe,2018,1,81
445,四川,510000,4a103c30d593fbbe,2018,1,2027
446,安徽,340000,4a103c30d593fbbe,2018,1,1360
447,山东,370000,4a103c30d593fbbe,2018,1,1772
448,山西,140000,4a103c30d593fbbe,2018,1,515
449,广东,440000,4a103c30d593fbbe,2018,1,841
450,广西,450000,4a103c30d593fbbe,2018,1,318
451,江苏,320000,4a103c30d593fbbe,2018,1,2088
452,江西,360000,4a103c30d593fbbe,2018,1,613
453,河北,130000,4a103c30d593fbbe,2018,1,2527
454,河南,410000,4a103c30d593fbbe,2018,1,2366
455,浙江,330000,4a103c30d593fbbe,2018,1,1590
456,湖北,420000,4a103c30d593fbbe,2018,1,940
457,湖南,430000,4a103c30d593fbbe,2018,1,702
458,福建,350000,4a103c30d593fbbe,2018,1,527
459,辽宁,210000,4a103c30d593fbbe,2018,1,603
460,重庆,500000,4a103c30d593fbbe,2018,1,428
461,陕西,610000,4a103c30d593fbbe,2018,1,571
462,黑龙江,230000,4a103c30d593fbbe,2018,1,599
463,上海,310000,7a7885e2d7c00bcf,2018,1,623
464,云南,530000,7a7885e2d7c00bcf,2018,1,177
465,内蒙古,150000,7a7885e2d7c00bcf,2018,1,200
466,北京,110000,7a7885e2d7c00bcf,2018,1,427
467,四川,510000,7a7885e2d7c00bcf,2018,1,546
468,安徽,340000,7a7885e2d7c00bcf,2018,1,507
469,山东,370000,7a7885e2d7c00bcf,2018,1,1279
470,山西,140000,7a7885e2d7c00bcf,2018,1,164
471,广东,440000,7a7885e2d7c00bcf,2018,1,466
472,广西,450000,7a7885e2d7c00bcf,2018,1,122
473,江苏,320000,7a7885e2d7c00bcf,2018,1,1367
474,江西,360000,7a7885e2d7c00bcf,2018,1,247
475,河北,130000,7a7885e2d7c00bcf,2018,1,1173
476,河南,410000,7a7885e2d7c00bcf,2018,1,899
477,浙江,330000,7a7885e2d7c00bcf,2018,1,1198
478,湖北,420000,7a7885e2d7c00bcf,2018,1,320
479,湖南,430000,7a7885e2d7c00bcf,2018,1,288
480,福建,350000,7a7885e2d7c00bcf,2018,1,201
481,辽宁,210000,7a7885e2d7c00bcf,2018,1,144
482,重庆,500000,7a7885e2d7c00bcf,2018,1,83
483,陕西,610000,7a7885e2d7c00bcf,2018,1,236
484,黑龙江,230000,7a7885e2d7c00bcf,2018,1,147
485,上海,310000,346393c2c6305fb1,2018,1,20
486,云南,530000,346393c2c6305fb1,2018,1,38
487,内蒙古,150000,346393c2c6305fb1,2018,1,59
488,北京,110000,346393c2c6305fb1,2018,1,39
489,四川,510000,346393c2c6305fb1,2018,1,134
490,安徽,340000,346393c2c6305fb1,2018,1,302
491,山东,370000,346393c2c6305fb1,2018,1,674
492,山西,140000,346393c2c6305fb1,2018,1,274
493,广东,440000,346393c2c6305fb1,2018,1,68
494,广西,450000,346393c2c6305fb1,2018,1,78
495,江苏,320000,346393c2c6305fb1,2018,1,132
496,江西,360000,346393c2c6305fb1,2018,1,88
497,河北,130000,346393c2c6305fb1,2018,1,713
498,河南,410000,346393c2c6305fb1,2018,1,422
